s,age,class,mean_diff
Control,0,Direct conifer recovery,0
Control,0,Deciduous transient,0
Control,1,Direct conifer recovery,0
Control,1,Deciduous transient,0
Control,2,Direct conifer recovery,0.0697180028913603
Control,2,Deciduous transient,0.05961821152161743
Control,3,Direct conifer recovery,0.08637573398234048
Control,3,Deciduous transient,0.0797646224385252
Control,4,Direct conifer recovery,0.1017132568854962
Control,4,Deciduous transient,0.09803958867454204
Control,5,Direct conifer recovery,0.12249212440316347
Control,5,Deciduous transient,0.11172062241282381
Control,6,Direct conifer recovery,0.13627455089838575
Control,6,Deciduous transient,0.11987360898143466
Control,7,Direct conifer recovery,0.1545289939040823
Control,7,Deciduous transient,0.12916154432125396
Control,8,Direct conifer recovery,0.16005975928593982
Control,8,Deciduous transient,0.13368293841453957
Control,9,Direct conifer recovery,0.1632101099859898
Control,9,Deciduous transient,0.13796133233149624
Control,10,Direct conifer recovery,0.1647541536903766
Control,10,Deciduous transient,0.1428416682938398
Control,11,Direct conifer recovery,0.16592596611885307
Control,11,Deciduous transient,0.14710670753800117
Control,12,Direct conifer recovery,0.1711819098916634
Control,12,Deciduous transient,0.15397752064414386
Control,13,Direct conifer recovery,0.17171966051458826
Control,13,Deciduous transient,0.15954345858765517
Control,14,Direct conifer recovery,0.17199295719070878
Control,14,Deciduous transient,0.16600008506233843
Control,15,Direct conifer recovery,0.17264268884489278
Control,15,Deciduous transient,0.1722793545233007
Control,16,Direct conifer recovery,0.17401622027247826
Control,16,Deciduous transient,0.18015390654186858
Control,17,Direct conifer recovery,0.1792817454522366
Control,17,Deciduous transient,0.1902705761509066
Control,18,Direct conifer recovery,0.1813025395189045
Control,18,Deciduous transient,0.20055323140641573
Control,19,Direct conifer recovery,0.18436458946050635
Control,19,Deciduous transient,0.211140119553129
Control,20,Direct conifer recovery,0.18694144156976616
Control,20,Deciduous transient,0.22258969138592044
Control,21,Direct conifer recovery,0.18998789911731045
Control,21,Deciduous transient,0.23521216967426456
Control,22,Direct conifer recovery,0.19764488538397074
Control,22,Deciduous transient,0.24954376439032075
Control,23,Direct conifer recovery,0.20169586447338886
Control,23,Deciduous transient,0.2634227180544688
Control,24,Direct conifer recovery,0.20569191584181537
Control,24,Deciduous transient,0.2781091720453202
Control,25,Direct conifer recovery,0.20976942529959897
Control,25,Deciduous transient,0.29286305957135034
Control,26,Direct conifer recovery,0.2142040722899804
Control,26,Deciduous transient,0.3074889655058985
Control,27,Direct conifer recovery,0.22226348733534249
Control,27,Deciduous transient,0.32225732699079707
Control,28,Direct conifer recovery,0.2274740651087523
Control,28,Deciduous transient,0.3369677675577875
Control,29,Direct conifer recovery,0.23231261805021788
Control,29,Deciduous transient,0.3510894172416288
Control,30,Direct conifer recovery,0.2371215753189507
Control,30,Deciduous transient,0.36532644394011393
Control,31,Direct conifer recovery,0.24191091929659234
Control,31,Deciduous transient,0.37947469763437097
Control,32,Direct conifer recovery,0.24958871236810354
Control,32,Deciduous transient,0.3932375608272947
Control,33,Direct conifer recovery,0.2553054403656445
Control,33,Deciduous transient,0.4071071064603836
Control,34,Direct conifer recovery,0.2602728686802064
Control,34,Deciduous transient,0.42177492603444167
Control,35,Direct conifer recovery,0.2660524531681482
Control,35,Deciduous transient,0.43616635942815696
Control,36,Direct conifer recovery,0.27131091940817115
Control,36,Deciduous transient,0.4497377789216597
Control,37,Direct conifer recovery,0.27895969064949994
Control,37,Deciduous transient,0.4634121784044806
Control,38,Direct conifer recovery,0.2833151153703789
Control,38,Deciduous transient,0.47665003725685445
Control,39,Direct conifer recovery,0.2877479943827465
Control,39,Deciduous transient,0.48955264963733536
Control,40,Direct conifer recovery,0.29212134960557096
Control,40,Deciduous transient,0.5025929176123446
Control,41,Direct conifer recovery,0.2967821946427057
Control,41,Deciduous transient,0.514192052123787
Control,42,Direct conifer recovery,0.3029800358452296
Control,42,Deciduous transient,0.5263978785549567
Control,43,Direct conifer recovery,0.30755524872725604
Control,43,Deciduous transient,0.5388072733626594
Control,44,Direct conifer recovery,0.3115736698443543
Control,44,Deciduous transient,0.5513075071469875
Control,45,Direct conifer recovery,0.3164558907328937
Control,45,Deciduous transient,0.5633930182861
Control,46,Direct conifer recovery,0.32029552638953035
Control,46,Deciduous transient,0.576476489669444
Control,47,Direct conifer recovery,0.3270263415850045
Control,47,Deciduous transient,0.5891562466550487
Control,48,Direct conifer recovery,0.3310099326637812
Control,48,Deciduous transient,0.6016396664629219
Control,49,Direct conifer recovery,0.3351948383791539
Control,49,Deciduous transient,0.6134470808397524
Control,50,Direct conifer recovery,0.33943475335352935
Control,50,Deciduous transient,0.6255601711865387
Control,51,Direct conifer recovery,0.3432572673853582
Control,51,Deciduous transient,0.6370716446709634
Control,52,Direct conifer recovery,0.34926522306006647
Control,52,Deciduous transient,0.6484799507060514
Control,53,Direct conifer recovery,0.353631613719581
Control,53,Deciduous transient,0.6607561632738037
Control,54,Direct conifer recovery,0.3583295929551156
Control,54,Deciduous transient,0.672385546447154
Control,55,Direct conifer recovery,0.36343609718964254
Control,55,Deciduous transient,0.6846361831330603
Control,56,Direct conifer recovery,0.36828471259883416
Control,56,Deciduous transient,0.6973745753096543
Control,57,Direct conifer recovery,0.3747044275254744
Control,57,Deciduous transient,0.7097129089774371
Control,58,Direct conifer recovery,0.3787408715053566
Control,58,Deciduous transient,0.7221250028363251
Control,59,Direct conifer recovery,0.3829221877794474
Control,59,Deciduous transient,0.7342244047500669
Control,60,Direct conifer recovery,0.3874671319558855
Control,60,Deciduous transient,0.7465204448660588
Control,61,Direct conifer recovery,0.3914997135557303
Control,61,Deciduous transient,0.7575139206293829
Control,62,Direct conifer recovery,0.3971237401749317
Control,62,Deciduous transient,0.7701545642186558
Control,63,Direct conifer recovery,0.40154780528455575
Control,63,Deciduous transient,0.7822524933729348
Control,64,Direct conifer recovery,0.4064150890301503
Control,64,Deciduous transient,0.7944220396917234
Control,65,Direct conifer recovery,0.41128220075964583
Control,65,Deciduous transient,0.8068753466180677
Control,66,Direct conifer recovery,0.4166988715755711
Control,66,Deciduous transient,0.8190447877166238
Control,67,Direct conifer recovery,0.4241768387254805
Control,67,Deciduous transient,0.8316868617512997
Control,68,Direct conifer recovery,0.43030726743808256
Control,68,Deciduous transient,0.8434164017502387
Control,69,Direct conifer recovery,0.43639412680382383
Control,69,Deciduous transient,0.8561445283186006
Control,70,Direct conifer recovery,0.44188192815476013
Control,70,Deciduous transient,0.8691088893775415
Control,71,Direct conifer recovery,0.4486963632733844
Control,71,Deciduous transient,0.8825952464294712
Control,72,Direct conifer recovery,0.45551626685070945
Control,72,Deciduous transient,0.8957813985534288
Control,73,Direct conifer recovery,0.46145665794924373
Control,73,Deciduous transient,0.9085856065368036
Control,74,Direct conifer recovery,0.46769733310278877
Control,74,Deciduous transient,0.921236270358912
Control,75,Direct conifer recovery,0.4741673419367339
Control,75,Deciduous transient,0.933853134388294
Control,76,Direct conifer recovery,0.4804810250341524
Control,76,Deciduous transient,0.9463390731489989
Control,77,Direct conifer recovery,0.4880728388511042
Control,77,Deciduous transient,0.9603340882576862
Control,78,Direct conifer recovery,0.49427156494652047
Control,78,Deciduous transient,0.9734662584761957
Control,79,Direct conifer recovery,0.5012065624563219
Control,79,Deciduous transient,0.9863353313890424
Control,80,Direct conifer recovery,0.5083135540398761
Control,80,Deciduous transient,0.9996969284625197
Control,81,Direct conifer recovery,0.5151941998377497
Control,81,Deciduous transient,NA
Control,82,Direct conifer recovery,0.523972467010171
Control,82,Deciduous transient,NA
Control,83,Direct conifer recovery,0.5310232987507207
Control,83,Deciduous transient,NA
Control,84,Direct conifer recovery,0.5383757781730134
Control,84,Deciduous transient,NA
Control,85,Direct conifer recovery,0.5460259954177473
Control,85,Deciduous transient,NA
Control,86,Direct conifer recovery,0.55431951102638
Control,86,Deciduous transient,NA
Control,87,Direct conifer recovery,0.5632750800392016
Control,87,Deciduous transient,NA
Control,88,Direct conifer recovery,0.5705390011321587
Control,88,Deciduous transient,NA
Control,89,Direct conifer recovery,0.5775033942276068
Control,89,Deciduous transient,NA
Control,90,Direct conifer recovery,0.5852903512779827
Control,90,Deciduous transient,NA
Control,91,Direct conifer recovery,0.5933028306672581
Control,91,Deciduous transient,NA
Control,92,Direct conifer recovery,0.602095680663437
Control,92,Deciduous transient,NA
Control,93,Direct conifer recovery,0.6095522472571498
Control,93,Deciduous transient,NA
Control,94,Direct conifer recovery,0.6165075071325197
Control,94,Deciduous transient,NA
Control,95,Direct conifer recovery,0.6237879996350273
Control,95,Deciduous transient,NA
Control,96,Direct conifer recovery,0.6303334945832257
Control,96,Deciduous transient,NA
Control,97,Direct conifer recovery,0.6383415985684358
Control,97,Deciduous transient,NA
Control,98,Direct conifer recovery,0.6457620697022994
Control,98,Deciduous transient,NA
Control,99,Direct conifer recovery,0.6535798340101924
Control,99,Deciduous transient,NA
Control,100,Direct conifer recovery,0.661197237650174
Control,100,Deciduous transient,NA
Control,101,Direct conifer recovery,0.6678477710833359
Control,101,Deciduous transient,NA
Control,102,Direct conifer recovery,0.6774171352895015
Control,102,Deciduous transient,NA
Control,103,Direct conifer recovery,0.6843891014317425
Control,103,Deciduous transient,NA
Control,104,Direct conifer recovery,0.6931523407174207
Control,104,Deciduous transient,NA
Control,105,Direct conifer recovery,0.6997975771850771
Control,105,Deciduous transient,NA
Control,106,Direct conifer recovery,0.7093944107826164
Control,106,Deciduous transient,NA
Control,107,Direct conifer recovery,0.7181190428729954
Control,107,Deciduous transient,NA
Control,108,Direct conifer recovery,0.7236600667839679
Control,108,Deciduous transient,NA
Control,109,Direct conifer recovery,0.7326804801416144
Control,109,Deciduous transient,NA
Control,110,Direct conifer recovery,0.7393638052358503
Control,110,Deciduous transient,NA
Control,111,Direct conifer recovery,0.7470317869460168
Control,111,Deciduous transient,NA
Control,112,Direct conifer recovery,0.7482279866231502
Control,112,Deciduous transient,NA
Control,113,Direct conifer recovery,0.7527849915050853
Control,113,Deciduous transient,NA
Control,114,Direct conifer recovery,0.7622576468944969
Control,114,Deciduous transient,NA
Control,115,Direct conifer recovery,0.7663914602133852
Control,115,Deciduous transient,NA
Control,116,Direct conifer recovery,0.76575432901221685
Control,116,Deciduous transient,NA
Control,117,Direct conifer recovery,0.772110957749024
Control,117,Deciduous transient,NA
Control,118,Direct conifer recovery,0.7741462146818716
Control,118,Deciduous transient,NA
Control,119,Direct conifer recovery,0.7811493233511754
Control,119,Deciduous transient,NA
Control,120,Direct conifer recovery,0.7882592987718198
Control,120,Deciduous transient,NA
Control,121,Direct conifer recovery,0.8045213975488037
Control,121,Deciduous transient,NA
Control,122,Direct conifer recovery,0.8114814346480006
Control,122,Deciduous transient,NA
Control,123,Direct conifer recovery,0.8162399026308027
Control,123,Deciduous transient,NA
Control,124,Direct conifer recovery,0.8278178403475605
Control,124,Deciduous transient,NA
Control,125,Direct conifer recovery,0.8310185935546581
Control,125,Deciduous transient,NA
SSP1-RCP2.6,0,Direct conifer recovery,0
SSP1-RCP2.6,0,Deciduous transient,0
SSP1-RCP2.6,1,Direct conifer recovery,0
SSP1-RCP2.6,1,Deciduous transient,0
SSP1-RCP2.6,2,Direct conifer recovery,0.06529808568796515
SSP1-RCP2.6,2,Deciduous transient,0.05716900034112671
SSP1-RCP2.6,3,Direct conifer recovery,0.08929674788741553
SSP1-RCP2.6,3,Deciduous transient,0.0813000113163436
SSP1-RCP2.6,4,Direct conifer recovery,0.11444848221172645
